?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/PATO_0000165>	<http://www.w3.org/2000/01/rdf-schema#label>	"time"	
<http://purl.obolibrary.org/obo/PATO_0000117>	<http://www.w3.org/2000/01/rdf-schema#label>	"size"	
<http://purl.obolibrary.org/obo/PATO_0002390>	<http://www.w3.org/2000/01/rdf-schema#label>	"radius"	
<http://purl.obolibrary.org/obo/PATO_0001574>	<http://www.w3.org/2000/01/rdf-schema#label>	"flow rate"	
<http://purl.obolibrary.org/obo/PATO_0001756>	<http://www.w3.org/2000/01/rdf-schema#label>	"heat conductivity"	
<http://purl.obolibrary.org/obo/PATO_0001464>	<http://www.w3.org/2000/01/rdf-schema#label>	"electric potential"	
<http://purl.obolibrary.org/obo/PATO_0002243>	<http://www.w3.org/2000/01/rdf-schema#label>	"fluid flow rate"	
<http://purl.obolibrary.org/obo/PATO_0002182>	<http://www.w3.org/2000/01/rdf-schema#label>	"molecular quality"	
<http://purl.obolibrary.org/obo/PATO_0015009>	<http://www.w3.org/2000/01/rdf-schema#label>	"humidity"	
<http://purl.obolibrary.org/obo/PATO_0000128>	<http://www.w3.org/2000/01/rdf-schema#label>	"weight"	
<http://purl.obolibrary.org/obo/PATO_0002122>	<http://www.w3.org/2000/01/rdf-schema#label>	"mixed"	
<http://purl.obolibrary.org/obo/PATO_0001350>	<http://www.w3.org/2000/01/rdf-schema#label>	"angular acceleration"	
<http://purl.obolibrary.org/obo/PATO_0000915>	<http://www.w3.org/2000/01/rdf-schema#label>	"thickness"	
<http://purl.obolibrary.org/obo/PATO_0001035>	<http://www.w3.org/2000/01/rdf-schema#label>	"force"	
<http://purl.obolibrary.org/obo/PATO_0001025>	<http://www.w3.org/2000/01/rdf-schema#label>	"pressure"	
<http://purl.obolibrary.org/obo/PATO_0000921>	<http://www.w3.org/2000/01/rdf-schema#label>	"width"	
<http://purl.obolibrary.org/obo/PATO_0001585>	<http://www.w3.org/2000/01/rdf-schema#label>	"conductivity"	
<http://purl.obolibrary.org/obo/PATO_0000025>	<http://www.w3.org/2000/01/rdf-schema#label>	"composition"	
<http://purl.obolibrary.org/obo/PATO_0001019>	<http://www.w3.org/2000/01/rdf-schema#label>	"mass density"	
<http://purl.obolibrary.org/obo/PATO_0001236>	<http://www.w3.org/2000/01/rdf-schema#label>	"process quality"	
<http://purl.obolibrary.org/obo/PATO_0002062>	<http://www.w3.org/2000/01/rdf-schema#label>	"physical quality of a process"	
<http://purl.obolibrary.org/obo/PATO_0000052>	<http://www.w3.org/2000/01/rdf-schema#label>	"shape"	
<http://purl.obolibrary.org/obo/PATO_0001241>	<http://www.w3.org/2000/01/rdf-schema#label>	"physical object quality"	
<http://purl.obolibrary.org/obo/PATO_0001028>	<http://www.w3.org/2000/01/rdf-schema#label>	"acceleration"	
